fru_minor_type,dn,fru_major_type,vid,series,_ManagedObject__xtra_props,pid,_handle,_ManagedObject__xtra_props_dirty_mask,clei,oem_part_number,_ManagedObject__status,_class_id,child_action,sku,descr,_ManagedObject__parent_dn,collected_date,policy_owner,sacl,policy_level,rn,status,description,oem_name,int_id,_ManagedObject__parent_mo,name,_child,_dirty_mask,is_sec_fw_update,caption,part_number,vendor_equipment_type
Not Applicable,capabilities/manufacturer-MemoryManufacturer-model-undetermined 8GB DIMM 1066MHz-revision-01/manufacturing,Not Applicable,V01,,{},N01-M308GA1,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,Not Applicable,,,EquipmentManufacturingDef,,N01-M308GA1,,capabilities/manufacturer-MemoryManufacturer-model-undetermined 8GB DIMM 1066MHz-revision-01,2016-12-28 06:58:41,local,,0,manufacturing,,"8GB DDR3 DIMM; ECC, Registered, 1066MHz",,253988,,"8GB DDR3 DIMM; ECC, Registered, 1066MHz",[],0,,"8GB DDR3 DIMM; ECC, Registered, 1066MHz",Not Determined,Not Applicable
Not Applicable,capabilities/manufacturer-LSI Logic   Symbios Logic-model-MegaRAID SAS 9240-revision-0/manufacturing,Not Applicable,V01,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,,,EquipmentManufacturingDef,,,,capabilities/manufacturer-LSI Logic   Symbios Logic-model-MegaRAID SAS 9240-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,,,253992,,MegaRAID SAS 9240,[],0,,,,Not Applicable
Not Applicable,capabilities/manufacturer-LSI Logic   Symbios Logic-model-LSI MegaSAS 9260-revision-0/manufacturing,Not Applicable,V01,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,,,EquipmentManufacturingDef,,,,capabilities/manufacturer-LSI Logic   Symbios Logic-model-LSI MegaSAS 9260-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,,,254004,,LSI MegaSAS 9260,[],0,,,,Not Applicable
Not Applicable,capabilities/manufacturer-LSI Corp.-model-LSI 6G MegaRAID 9240-8i C22-C24-revision-0/manufacturing,Not Applicable,V01,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,MegaRAID 9240-8i,,EquipmentManufacturingDef,,,,capabilities/manufacturer-LSI Corp.-model-LSI 6G MegaRAID 9240-8i C22-C24-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"LSI 6G MegaRAID 9240-8i card (RAID 0,1,10)",LSI Corp.,254015,,LSI 6G MegaRAID 9240-8i,[],0,,"LSI 6G MegaRAID 9240-8i card (RAID 0,1,10)",72-7461-02,Not Applicable
Not Applicable,capabilities/manufacturer-LSI Corp.-model-UCSC RAID SAS 2008M-8i C240 MZ-revision-0/manufacturing,Not Applicable,V01,,{},UCSC-RAID-MZ-240,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,UCSC RAID SAS 2008M-8i,,EquipmentManufacturingDef,,UCSC-RAID-MZ-240,,capabilities/manufacturer-LSI Corp.-model-UCSC RAID SAS 2008M-8i C240 MZ-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"UCSC RAID SAS 2008M-8i(RAID 0,1,10)",LSI Corp.,254024,,UCSC RAID SAS 2008M-8i,[],0,,"UCSC RAID SAS 2008M-8i(RAID 0,1,10)",74-XXXXX-XX,Not Applicable
Not Applicable,capabilities/manufacturer-LSI Corp.-model-UCSC RAID SAS 2008M-8i C220 MZ-revision-0/manufacturing,Not Applicable,V01,,{},UCSC-RAID-MZ-220,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,UCSC RAID SAS 2008M-8i,,EquipmentManufacturingDef,,UCSC-RAID-MZ-220,,capabilities/manufacturer-LSI Corp.-model-UCSC RAID SAS 2008M-8i C220 MZ-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"UCSC RAID SAS 2008M-8i(RAID 0,1,10)",LSI Corp.,254033,,UCSC RAID SAS 2008M-8i,[],0,,"UCSC RAID SAS 2008M-8i(RAID 0,1,10)",74-XXXXX-XX,Not Applicable
Not Applicable,capabilities/manufacturer-LSI Corp.-model-LSI 6G MegaRAID SAS 9280-4i4e-revision-0/manufacturing,Not Applicable,V01,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,MegaRAID SAS 9280-4i4e,,EquipmentManufacturingDef,,,,capabilities/manufacturer-LSI Corp.-model-LSI 6G MegaRAID SAS 9280-4i4e-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"LSI 6G MegaRAID SAS 9280-4i4e card (RAID 0,1,5,6,10,60) - 512WC",LSI Corp.,254044,,LSI 6G MegaRAID SAS 9280-4i4e,[],0,,"LSI 6G MegaRAID SAS 9280-4i4e card (RAID 0,1,5,6,10,60) - 512WC",,Not Applicable
Not Applicable,capabilities/manufacturer-MemoryManufacturer-model-73-MemoryUnitPN-03-revision-01/manufacturing,Not Applicable,V01,,{},N01-M302GA1,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,Not Applicable,,,EquipmentManufacturingDef,,N01-M302GA1,,capabilities/manufacturer-MemoryManufacturer-model-73-MemoryUnitPN-03-revision-01,2016-12-28 06:58:41,local,,0,manufacturing,,Memory Unit,,254050,,,[],0,,Memory Unit,15-11764,Not Applicable
,capabilities/manufacturer-ATA-model-STEC MACH16 M16ISD2-100UCU-C01-TKF-revision-0/manufacturing,,V01,,{},UCS-SSD100GI1F104,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,M16ISD2-100UCU-C01-TKF,,EquipmentManufacturingDef,,UCS-SSD100GI1F104,,capabilities/manufacturer-ATA-model-STEC MACH16 M16ISD2-100UCU-C01-TKF-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,100GB MACH16 SATA 3 Gb Solid State Drive,STEC,254052,,100GB MACH16 SATA 3 Gb Solid State Drive,[],0,,100GB MACH16 SATA 3 Gb Solid State Drive,M16ISD2-100UCU-C01-TKF,
,"capabilities/manufacturer-Cisco Systems, Inc.-model-UCS-PSU-6248UP-AC-revision-0/manufacturing",,V00,,{},UCS-PSU-6248UP-AC,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,,,EquipmentManufacturingDef,,UCS-PSU-6248UP-AC,,"capabilities/manufacturer-Cisco Systems, Inc.-model-UCS-PSU-6248UP-AC-revision-0",2016-12-28 06:58:41,local,,0,manufacturing,,AC PSU for UCS-FI-6248UP,,254056,,AC PSU for UCS-FI-6248UP,[],0,,AC PSU for UCS-FI-6248UP,UCS-PSU-6248UP-AC,
,"capabilities/manufacturer-Cisco Systems, Inc.-model-UCS-PSU-6296UP-AC-revision-0/manufacturing",,V00,,{},UCS-PSU-6296UP-AC,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,,,EquipmentManufacturingDef,,UCS-PSU-6296UP-AC,,"capabilities/manufacturer-Cisco Systems, Inc.-model-UCS-PSU-6296UP-AC-revision-0",2016-12-28 06:58:41,local,,0,manufacturing,,AC PSU for UCS-FI-6296UP,,254081,,AC PSU for UCS-FI-6296UP,[],0,,AC PSU for UCS-FI-6296UP,UCS-PSU-6296UP-AC,
Not Applicable,capabilities/manufacturer-LSI Corp.-model-LSI 6G MegaRAID SAS 9266-8i-revision-0/manufacturing,Not Applicable,V01,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,MegaRAID SAS 9266-8i,,EquipmentManufacturingDef,,,,capabilities/manufacturer-LSI Corp.-model-LSI 6G MegaRAID SAS 9266-8i-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"LSI 6G MegaRAID SAS 9266-8i card (RAID 0,1,5,6,10,60) - 512WC",LSI Corp.,254089,,LSI 6G MegaRAID SAS 9266-8i,[],0,,"LSI 6G MegaRAID SAS 9266-8i card (RAID 0,1,5,6,10,60) - 512WC",,Not Applicable
,"capabilities/manufacturer-Cisco Systems, Inc.-model-UCS-PSU-6248UP-DC-revision-0/manufacturing",,V00,,{},UCS-PSU-6248UP-DC,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,,,EquipmentManufacturingDef,,UCS-PSU-6248UP-DC,,"capabilities/manufacturer-Cisco Systems, Inc.-model-UCS-PSU-6248UP-DC-revision-0",2016-12-28 06:58:41,local,,0,manufacturing,,DC PSU for UCS-FI-6248UP,,254096,,DC PSU for UCS-FI-6248UP,[],0,,DC PSU for UCS-FI-6248UP,UCS-PSU-6248UP-DC,
Not Applicable,capabilities/manufacturer-LSI Corp.-model-UCSC RAID SAS 2008M-8i C240-revision-0/manufacturing,Not Applicable,V01,,{},UCSC-RAID-11-C240,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,UCSC RAID SAS 2008M-8i,,EquipmentManufacturingDef,,UCSC-RAID-11-C240,,capabilities/manufacturer-LSI Corp.-model-UCSC RAID SAS 2008M-8i C240-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"UCSC RAID SAS 2008M-8i(RAID 0,1,5,10)",LSI Corp.,254103,,UCSC RAID SAS 2008M-8i,[],0,,"UCSC RAID SAS 2008M-8i(RAID 0,1,5,10)",74-XXXXX-XX,Not Applicable
Not Applicable,capabilities/manufacturer-LSI Corp.-model-LSI 6G MegaRAID SAS 9271-8i-revision-0/manufacturing,Not Applicable,V01,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,MegaRAID SAS 9271-8i,,EquipmentManufacturingDef,,,,capabilities/manufacturer-LSI Corp.-model-LSI 6G MegaRAID SAS 9271-8i-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"LSI 6G MegaRAID SAS 9271-8i card (RAID 0,1,5,6,10,60) - 512WC",LSI Corp.,254114,,LSI 6G MegaRAID SAS 9271-8i,[],0,,"LSI 6G MegaRAID SAS 9271-8i card (RAID 0,1,5,6,10,60) - 512WC",,Not Applicable
1,capabilities/manufacturer-Cisco Systems Inc-model-UCSC-BASE-M2-C460-revision-0/manufacturing,1,V01,,{},UCSC-BASE-M2-C460,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,74-9623-01,,EquipmentManufacturingDef,,UCSC-BASE-M2-C460,,capabilities/manufacturer-Cisco Systems Inc-model-UCSC-BASE-M2-C460-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"4 socket, 4RU Rack-Mount Server, 64 DIMMs, 12SFF Disks, Intel Xeon 7500/7600 series, 10 PCIe slots, 4 PSUs",,254149,,Cisco UCS C460 M2,[],0,,"Cisco UCS C460 M2 Scalable, High-Performance Rack-Mount Server",74-9623-01,
,capabilities/manufacturer-Cisco Systems Inc-model-UCSB-PSU-2500ACDV-revision-0/manufacturing,,V01,,{},UCSB-PSU-2500ACDV,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,,,EquipmentManufacturingDef,,UCSB-PSU-2500ACDV,,capabilities/manufacturer-Cisco Systems Inc-model-UCSB-PSU-2500ACDV-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,Platinum II AC Power Supply for UCS 5108 Chassis,,254157,,Platinum II AC Power Supply for UCS 5108 Chassis,[],0,,Platinum II AC Power Supply for UCS 5108 Chassis,341-0571-01,
,capabilities/manufacturer-Cisco Systems Inc-model-R2X0-PSU2-650W-SB-revision-0/manufacturing,,V00,,{},R2X0-PSU2-650W-SB,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,,,EquipmentManufacturingDef,,R2X0-PSU2-650W-SB,,capabilities/manufacturer-Cisco Systems Inc-model-R2X0-PSU2-650W-SB-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"650W power supply, with added 5A Standby for UCS C200 or C210",,254160,,"650W power supply, with added 5A Standby for UCS C200 or C210",[],0,,"650W power supply, with added 5A Standby for UCS C200 or C210",74-7541-01,
,capabilities/manufacturer-Cisco Systems Inc-model-UCSB-PSU-2500ACPL-revision-0/manufacturing,,V00,,{},UCSB-PSU-2500ACPL,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,,,EquipmentManufacturingDef,,UCSB-PSU-2500ACPL,,capabilities/manufacturer-Cisco Systems Inc-model-UCSB-PSU-2500ACPL-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,2500W Platinum Hot Plug AC PSU for N20-C6508 Blade Server Chassis,,254163,,Platinum AC PSU for N20-C6508 Blade Server Chassis,[],0,,2500W Platinum Hot Plug AC PSU for N20-C6508 Blade Server Chassis,341-0441-01,
,capabilities/manufacturer-Cisco Systems Inc-model-UCSB-PSU-2500DC48-revision-0/manufacturing,,V01,,{},UCSB-PSU-2500DC48,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,,,EquipmentManufacturingDef,,UCSB-PSU-2500DC48,,capabilities/manufacturer-Cisco Systems Inc-model-UCSB-PSU-2500DC48-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,2500W -48V DC Power Supply for UCS 5108 Blade Server Chassis,,254222,,2500W -48V DC Power Supply for UCS 5108 Blade Server Chassis,[],0,,2500W -48V DC Power Supply for UCS 5108 Blade Server Chassis,341-0408-01,
1,capabilities/manufacturer-Cisco Systems Inc-model-UCSC-BSE-SFF-C200-revision-0/manufacturing,1,V01,,{},UCSC-BSE-SFF-C200,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,,,EquipmentManufacturingDef,,UCSC-BSE-SFF-C200,,capabilities/manufacturer-Cisco Systems Inc-model-UCSC-BSE-SFF-C200-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"2 socket, 1RU Rack-Mount Server, 12 DIMMs, 8 SFF Disks, Intel Xeon 5500 series and 5600 series, 2 PCIe slots, 2 PSUs",,254231,,Cisco UCS C200 M2,[],0,,Cisco UCS C200 M2 High-Density Rack-Mount Server,74-9107-01,
,"capabilities/manufacturer-Cisco Systems, Inc.-model-N5K-C5010P-BFS-revision-0/manufacturing",,V01,,{},N10-S6100,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,,,EquipmentManufacturingDef,,N10-S6100,,"capabilities/manufacturer-Cisco Systems, Inc.-model-N5K-C5010P-BFS-revision-0",2016-12-28 06:58:41,local,,0,manufacturing,,Cisco UCS 6120XP 20 Port 1RU Fabric Interconnect,,254241,,Cisco UCS 6120XP,[],0,,Cisco UCS 6120XP 20 Port Fabric Interconnect,N10-S6100,
,"capabilities/manufacturer-Cisco Systems, Inc.-model-UCS-FAN-6248UP-revision-0/manufacturing",,V01,,{},UCS-FAN-6248UP,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,,,EquipmentManufacturingDef,,UCS-FAN-6248UP,,"capabilities/manufacturer-Cisco Systems, Inc.-model-UCS-FAN-6248UP-revision-0",2016-12-28 06:58:41,local,,0,manufacturing,,Fan Module for UCS 6248UP Fabric Interconnect,,254246,,Fan Module for UCS 6248UP Fabric Interconnect,[],0,,Fan Module for UCS 6248UP Fabric Interconnect,UCS-FAN-6248UP,
,"capabilities/manufacturer-Cisco Systems, Inc.-model-N5K-C5020P-BFS-revision-0/manufacturing",,V01,,{},N10-S6200,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,,,EquipmentManufacturingDef,,N10-S6200,,"capabilities/manufacturer-Cisco Systems, Inc.-model-N5K-C5020P-BFS-revision-0",2016-12-28 06:58:41,local,,0,manufacturing,,Cisco UCS 6140XP 40 Port 2RU Fabric Interconnect,,254253,,Cisco UCS 6140XP,[],0,,Cisco UCS 6140XP 40 Port Fabric Interconnect,N10-S6200,
,"capabilities/manufacturer-Cisco Systems, Inc.-model-UCS-FAN-6296UP-revision-0/manufacturing",,V01,,{},UCS-FAN-6296UP,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,,,EquipmentManufacturingDef,,UCS-FAN-6296UP,,"capabilities/manufacturer-Cisco Systems, Inc.-model-UCS-FAN-6296UP-revision-0",2016-12-28 06:58:41,local,,0,manufacturing,,Fan Module for UCS 6296UP Fabric Interconnect,,254258,,Fan Module for UCS 6296UP Fabric Interconnect,[],0,,Fan Module for UCS 6296UP Fabric Interconnect,UCS-FAN-6296UP,
,"capabilities/manufacturer-Cisco Systems, Inc.-model-N5K-C5596P-FAN-revision-0/manufacturing",,V01,,{},UCS-FAN-6296UP,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,,,EquipmentManufacturingDef,,UCS-FAN-6296UP,,"capabilities/manufacturer-Cisco Systems, Inc.-model-N5K-C5596P-FAN-revision-0",2016-12-28 06:58:41,local,,0,manufacturing,,Fan Module for UCS 6296UP Fabric Interconnect (N5K),,254285,,Fan Module for UCS 6296UP Fabric Interconnect (N5K),[],0,,Fan Module for UCS 6296UP Fabric Interconnect (N5K),UCS-FAN-6296UP,
,"capabilities/manufacturer-Cisco Systems, Inc.-model-N5K-C5548P-FAN-revision-0/manufacturing",,V01,,{},UCS-FAN-6248UP,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,,,EquipmentManufacturingDef,,UCS-FAN-6248UP,,"capabilities/manufacturer-Cisco Systems, Inc.-model-N5K-C5548P-FAN-revision-0",2016-12-28 06:58:41,local,,0,manufacturing,,Fan Module for UCS 6248UP Fabric Interconnect (N5K),,254289,,Fan Module for UCS 6248UP Fabric Interconnect (N5K),[],0,,Fan Module for UCS 6248UP Fabric Interconnect (N5K),UCS-FAN-6248UP,
1,capabilities/manufacturer-Cisco Systems Inc-model-UCSC-PCIE-CSC-02-revision-0/manufacturing,1,V00,,{},UCSC-PCIE-CSC-02,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,,,EquipmentManufacturingDef,,UCSC-PCIE-CSC-02,,capabilities/manufacturer-Cisco Systems Inc-model-UCSC-PCIE-CSC-02-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,PCI Express Dual Port Cisco Converged Network Adapter Supporting 10Gb Ethernet and 10Gb Fibre Channel,,254304,,Cisco UCS VIC 1225,[],0,,Cisco UCS VIC 1225 Virtual Interface Card,73-14093-01,
,"capabilities/manufacturer-Cisco Systems, Inc.-model-N10-PAC1-1200W-revision-0/manufacturing",,V00,,{},N10-PAC1-1200W,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,,,EquipmentManufacturingDef,,N10-PAC1-1200W,,"capabilities/manufacturer-Cisco Systems, Inc.-model-N10-PAC1-1200W-revision-0",2016-12-28 06:58:41,local,,0,manufacturing,,1200W AC 200-240V PSU for UCS 6140 Fabric Interconnect,,254315,,1200W AC 200-240V PSU for UCS 6140 Fabric Interconnect,[],0,,1200W AC 200-240V PSU for UCS 6140 Fabric Interconnect,N10-PAC1-1200W,
Not Applicable,capabilities/manufacturer-LSI Corp.-model-LSI MegaRAID SAS 8708EM2-revision-0/manufacturing,Not Applicable,V01,,{},R2XX-PL002,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,MegaRAID SAS 8708EM2,,EquipmentManufacturingDef,,R2XX-PL002,,capabilities/manufacturer-LSI Corp.-model-LSI MegaRAID SAS 8708EM2-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,LSI MegaRAID SAS 8708EM2 w/256MB Write Cache,LSI Corp.,254323,,LSI MegaRAID SAS 8708EM2,[],0,,LSI MegaRAID SAS 8708EM2 w/256MB Write Cache,74-6813-01,Not Applicable
1,capabilities/manufacturer-Cisco Systems Inc-model-UCSB-MLOM-40G-01-revision-0/manufacturing,1,V00,,{},UCSB-MLOM-40G-01,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,,,EquipmentManufacturingDef,,UCSB-MLOM-40G-01,,capabilities/manufacturer-Cisco Systems Inc-model-UCSB-MLOM-40G-01-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,PCI Express Dual Port Cisco Converged Network Adapter Supporting 20Gb Ethernet and 20Gb Fibre Channel,,254342,,Cisco UCS VIC 1240,[],0,,Cisco UCS VIC 1240 Virtual Interface Card,73-14641-02,
,"capabilities/manufacturer-Cisco Systems, Inc.-model-N2200-PAC-400W-revision-0/manufacturing",,V01,,{},N2200-PAC-400W,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,,,EquipmentManufacturingDef,,N2200-PAC-400W,,"capabilities/manufacturer-Cisco Systems, Inc.-model-N2200-PAC-400W-revision-0",2016-12-28 06:58:41,local,,0,manufacturing,,400W power supply unit for N2K/100-240VAC,,254409,,400W power supply unit for N2K/100-240VAC,[],0,,400W power supply unit for N2K/100-240VAC,341-0375-03,
Not Applicable,capabilities/manufacturer-LSI Corp.-model-LSI 6G MegaRAID 9265-8i-revision-0/manufacturing,Not Applicable,V01,,{},RC460-PL001,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,MegaRAID 9265-8i,,EquipmentManufacturingDef,,RC460-PL001,,capabilities/manufacturer-LSI Corp.-model-LSI 6G MegaRAID 9265-8i-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"LSI 6G MegaRAID 9265-8i card (RAID 0,1,5,6,10,60) - 512WC",LSI Corp.,254417,,LSI 6G MegaRAID 9265-8i,[],0,,"LSI 6G MegaRAID 9265-8i card (RAID 0,1,5,6,10,60) - 512WC",800-34338-01,Not Applicable
Not Applicable,capabilities/manufacturer-LSI Corp.-model-LSI 6G MegaRAID 9220-8i-revision-0/manufacturing,Not Applicable,V01,,{},,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,MegaRAID 9220-8i,,EquipmentManufacturingDef,,,,capabilities/manufacturer-LSI Corp.-model-LSI 6G MegaRAID 9220-8i-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"LSI 6G MegaRAID 9220-8i card (RAID 0,1,5,6,10,60) - 512WC",LSI Corp.,254428,,LSI 6G MegaRAID 9220-8i,[],0,,"LSI 6G MegaRAID 9220-8i card (RAID 0,1,5,6,10,60) - 512WC",800-34338-01,Not Applicable
,"capabilities/manufacturer-Cisco Systems, Inc.-model-N5K-C5020P-BF-revision-0/manufacturing",,V01,,{},N10-S6200,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,,,EquipmentManufacturingDef,,N10-S6200,,"capabilities/manufacturer-Cisco Systems, Inc.-model-N5K-C5020P-BF-revision-0",2016-12-28 06:58:41,local,,0,manufacturing,,Cisco UCS 6140XP 40 Port 2RU Fabric Interconnect,,254437,,Cisco UCS 6140XP,[],0,,Cisco UCS 6140XP 40 Port Fabric Interconnect,N10-S6200,
,"capabilities/manufacturer-Cisco Systems, Inc.-model-N5K-C5010P-BF-revision-0/manufacturing",,V01,,{},N10-S6100,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,,,EquipmentManufacturingDef,,N10-S6100,,"capabilities/manufacturer-Cisco Systems, Inc.-model-N5K-C5010P-BF-revision-0",2016-12-28 06:58:41,local,,0,manufacturing,,Cisco UCS 6120XP 20 Port 1RU Fabric Interconnect,,254510,,Cisco UCS 6120XP,[],0,,Cisco UCS 6120XP 20 Port Fabric Interconnect,N10-S6100,
,capabilities/manufacturer-Cisco Systems Inc-model-UCSB-MEZ-QLG-03-revision-0/manufacturing,,V01,,{},UCSB-MEZ-QLG-03,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,,,EquipmentManufacturingDef,,UCSB-MEZ-QLG-03,,capabilities/manufacturer-Cisco Systems Inc-model-UCSB-MEZ-QLG-03-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,PCI Express Dual Port 10Gb Converged Network Adapter,,254521,,Cisco UCS M73KR-Q,[],0,,Cisco UCS M73KR-Q QLogic Converged Network Adapter,74-9930-01,
Not Applicable,capabilities/manufacturer-Cisco Systems Inc-model-UCSB-F-FIO-365M-revision-0/manufacturing,Not Applicable,V01,,{},UCSB-F-FIO-365M,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,,,EquipmentManufacturingDef,,UCSB-F-FIO-365M,,capabilities/manufacturer-Cisco Systems Inc-model-UCSB-F-FIO-365M-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,,,254532,,Cisco UCS 365GB MLC Fusion-io ioDrive2,[],0,,,74-10860-01,Not Applicable
Not Applicable,capabilities/manufacturer-LSI Corp.-model-LSI 6G MegaRAID 9261-8i-revision-0/manufacturing,Not Applicable,V01,,{},R2XX-PL003,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,MegaRAID 9261-8i,,EquipmentManufacturingDef,,R2XX-PL003,,capabilities/manufacturer-LSI Corp.-model-LSI 6G MegaRAID 9261-8i-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"LSI 6G MegaRAID PCIe Card (RAID 0, 1, 5, 6, 10, 60) - 512WC",LSI Corp.,254539,,LSI 6G MegaRAID 9261-8i,[],0,,"LSI 6G MegaRAID 9261-8i card (RAID 0,1,5,6,10,60) - 512WC",74-7119-01,Not Applicable
,"capabilities/manufacturer-Cisco Systems, Inc.-model-UCS-FI-6296UP-revision-0/manufacturing",,V01,,{},UCS-FI-6296UP,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,,,EquipmentManufacturingDef,,UCS-FI-6296UP,,"capabilities/manufacturer-Cisco Systems, Inc.-model-UCS-FI-6296UP-revision-0",2016-12-28 06:58:41,local,,0,manufacturing,,Cisco UCS 6296UP 2RU Fabric Int/2 PSU/4 Fans/48 Fixed UP,,254572,,Cisco UCS 6296UP,[],0,,Cisco UCS 6296UP 2RU Fabric Int/2 PSU/4 Fans/48 Fixed UP,UCS-FI-6296UP,
Not Applicable,capabilities/manufacturer-LSI Corp.-model-LSI 6G MegaRAID 9260-8i-revision-0/manufacturing,Not Applicable,V01,,{},RC460-PL001,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,MegaRAID 9260-8i,,EquipmentManufacturingDef,,RC460-PL001,,capabilities/manufacturer-LSI Corp.-model-LSI 6G MegaRAID 9260-8i-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"LSI 6G MegaRAID 9260-8i card (RAID 0,1,5,6,10,60) - 512WC",LSI Corp.,254583,,LSI 6G MegaRAID 9260-8i,[],0,,"LSI 6G MegaRAID 9260-8i card (RAID 0,1,5,6,10,60) - 512WC",800-34338-01,Not Applicable
Not Applicable,capabilities/manufacturer-LSI Corp.-model-LSI 6G MegaRAID 9240-8i-revision-0/manufacturing,Not Applicable,V01,,{},RC460-PL002,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,MegaRAID 9240-8i,,EquipmentManufacturingDef,,RC460-PL002,,capabilities/manufacturer-LSI Corp.-model-LSI 6G MegaRAID 9240-8i-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"LSI 6G MegaRAID 9240-8i card (RAID 0,1,10)",LSI Corp.,254593,,LSI 6G MegaRAID 9240-8i,[],0,,"LSI 6G MegaRAID 9240-8i card (RAID 0,1,10)",72-7461-02,Not Applicable
,"capabilities/manufacturer-Cisco Systems, Inc.-model-UCS-FI-6248UP-revision-0/manufacturing",,V01,,{},UCS-FI-6248UP,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,,,EquipmentManufacturingDef,,UCS-FI-6248UP,,"capabilities/manufacturer-Cisco Systems, Inc.-model-UCS-FI-6248UP-revision-0",2016-12-28 06:58:41,local,,0,manufacturing,,Cisco UCS 6248UP 48 Port 1RU Fabric Interconnect,,254620,,Cisco UCS 6248UP,[],0,,Cisco UCS 6248UP 48 Port Fabric Interconnect,UCS-FI-6248UP,
